week,blackberry
2003-12,5
2004-01,6
2004-02,6
2004-03,7
2004-04,7
2004-05,8
2004-06,9
2004-07,10
2004-08,10
2004-09,10
2004-10,10
2004-11,11
2004-12,11
2005-01,13
2005-02,12
2005-03,12
2005-04,13
2005-05,13
2005-06,13
2005-07,14
2005-08,12
2005-09,13
2005-10,13
2005-11,14
2005-12,13
2006-01,13
2006-02,13
2006-03,12
2006-04,13
2006-05,14
2006-06,14
2006-07,16
2006-08,17
2006-09,17
2006-10,17
2006-11,18
2006-12,17
2007-01,19
2007-02,20
2007-03,20
2007-04,22
2007-05,24
2007-06,26
2007-07,23
2007-08,23
2007-09,24
2007-10,25
2007-11,26
2007-12,26
2008-01,28
2008-02,26
2008-03,28
2008-04,34
2008-05,34
2008-06,37
2008-07,39
2008-08,41
2008-09,49
2008-10,60
2008-11,58
2008-12,52
2009-01,55
2009-02,54
2009-03,57
2009-04,57
2009-05,61
2009-06,63
2009-07,67
2009-08,65
2009-09,70
2009-10,67
2009-11,71
2009-12,68
2010-01,66
2010-02,66
2010-03,67
2010-04,68
2010-05,69
2010-06,78
2010-07,95
2010-08,87
2010-09,88
2010-10,87
2010-11,91
2010-12,88
2011-01,83
2011-02,80
2011-03,83
2011-04,85
2011-05,87
2011-06,89
2011-07,95
2011-08,91
2011-09,100
2011-10,86
2011-11,88
2011-12,86
2012-01,78
2012-02,74
2012-03,73
2012-04,70
2012-05,69
2012-06,70
2012-07,69
2012-08,65
2012-09,59
2012-10,58
2012-11,62
2012-12,63
2013-01,65
2013-02,57
2013-03,53
2013-04,53
2013-05,49
2013-06,49
2013-07,47
2013-08,47
2013-09,42
2013-10,38
2013-11,36
2013-12,34
2014-01,33
2014-02,31
2014-03,30
2014-04,29
2014-05,30
2014-06,30
2014-07,29
2014-08,30
2014-09,26
2014-10,25
2014-11,24
2014-12,22
2015-01,20
2015-02,20
2015-03,18
2015-04,17
2015-05,17
2015-06,17
2015-07,16
2015-08,15
2015-09,14
2015-10,15
2015-11,14
2015-12,13
2016-01,12
2016-02,12
2016-03,11
2016-04,11
2016-05,11
2016-06,12
2016-07,11
2016-08,10
2016-09,11
