week,data-science
2011-10-08,19
2011-10-15,18
2011-10-22,17
2011-10-29,17
2011-11-05,17
2011-11-12,16
2011-11-19,16
2011-11-26,18
2011-12-03,18
2011-12-10,16
2011-12-17,12
2011-12-24,9
2011-12-31,16
2012-01-07,18
2012-01-14,17
2012-01-21,20
2012-01-28,19
2012-02-04,21
2012-02-11,18
2012-02-18,18
2012-02-25,18
2012-03-03,18
2012-03-10,15
2012-03-17,16
2012-03-24,17
2012-03-31,15
2012-04-07,17
2012-04-14,18
2012-04-21,19
2012-04-28,18
2012-05-05,16
2012-05-12,16
2012-05-19,16
2012-05-26,14
2012-06-02,14
2012-06-09,15
2012-06-16,15
2012-06-23,16
2012-06-30,14
2012-07-07,13
2012-07-14,16
2012-07-21,14
2012-07-28,13
2012-08-04,14
2012-08-11,16
2012-08-18,20
2012-08-25,25
2012-09-01,24
2012-09-08,27
2012-09-15,25
2012-09-22,24
2012-09-29,23
2012-10-06,21
2012-10-13,19
2012-10-20,19
2012-10-27,17
2012-11-03,19
2012-11-10,19
2012-11-17,18
2012-11-24,22
2012-12-01,22
2012-12-08,22
2012-12-15,16
2012-12-22,11
2012-12-29,16
2013-01-05,21
2013-01-12,20
2013-01-19,22
2013-01-26,23
2013-02-02,21
2013-02-09,21
2013-02-16,20
2013-02-23,21
2013-03-02,22
2013-03-09,20
2013-03-16,18
2013-03-23,19
2013-03-30,21
2013-04-06,24
2013-04-13,24
2013-04-20,23
2013-04-27,25
2013-05-04,24
2013-05-11,24
2013-05-18,23
2013-05-25,19
2013-06-01,20
2013-06-08,21
2013-06-15,23
2013-06-22,21
2013-06-29,19
2013-07-06,19
2013-07-13,19
2013-07-20,19
2013-07-27,19
2013-08-03,22
2013-08-10,23
2013-08-17,25
2013-08-24,30
2013-08-31,35
2013-09-07,34
2013-09-14,33
2013-09-21,30
2013-09-28,29
2013-10-05,28
2013-10-12,27
2013-10-19,28
2013-10-26,28
2013-11-02,28
2013-11-09,29
2013-11-16,31
2013-11-23,25
2013-11-30,30
2013-12-07,29
2013-12-14,25
2013-12-21,18
2013-12-28,21
2014-01-04,31
2014-01-11,34
2014-01-18,35
2014-01-25,35
2014-02-01,32
2014-02-08,33
2014-02-15,33
2014-02-22,34
2014-03-01,33
2014-03-08,34
2014-03-15,32
2014-03-22,33
2014-03-29,33
2014-04-05,35
2014-04-12,32
2014-04-19,34
2014-04-26,34
2014-05-03,37
2014-05-10,33
2014-05-17,31
2014-05-24,32
2014-05-31,34
2014-06-07,32
2014-06-14,33
2014-06-21,33
2014-06-28,30
2014-07-05,32
2014-07-12,33
2014-07-19,33
2014-07-26,27
2014-08-02,35
2014-08-09,42
2014-08-16,43
2014-08-23,48
2014-08-30,46
2014-09-06,50
2014-09-13,48
2014-09-20,45
2014-09-27,44
2014-10-04,43
2014-10-11,44
2014-10-18,43
2014-10-25,43
2014-11-01,45
2014-11-08,44
2014-11-15,46
2014-11-22,40
2014-11-29,47
2014-12-06,43
2014-12-13,40
2014-12-20,30
2014-12-27,33
2015-01-03,48
2015-01-10,47
2015-01-17,49
2015-01-24,51
2015-01-31,50
2015-02-07,48
2015-02-14,47
2015-02-21,49
2015-02-28,47
2015-03-07,49
2015-03-14,49
2015-03-21,48
2015-03-28,45
2015-04-04,49
2015-04-11,48
2015-04-18,47
2015-04-25,51
2015-05-02,53
2015-05-09,51
2015-05-16,48
2015-05-23,47
2015-05-30,53
2015-06-06,52
2015-06-13,52
2015-06-20,53
2015-06-27,50
2015-07-04,50
2015-07-11,52
2015-07-18,50
2015-07-25,51
2015-08-01,54
2015-08-08,55
2015-08-15,61
2015-08-22,64
2015-08-29,68
2015-09-05,70
2015-09-12,70
2015-09-19,65
2015-09-26,64
2015-10-03,66
2015-10-10,64
2015-10-17,66
2015-10-24,65
2015-10-31,67
2015-11-07,63
2015-11-14,62
2015-11-21,52
2015-11-28,61
2015-12-05,65
2015-12-12,61
2015-12-19,46
2015-12-26,49
2016-01-02,71
2016-01-09,71
2016-01-16,75
2016-01-23,78
2016-01-30,74
2016-02-06,68
2016-02-13,71
2016-02-20,69
2016-02-27,68
2016-03-05,71
2016-03-12,68
2016-03-19,66
2016-03-26,72
2016-04-02,72
2016-04-09,75
2016-04-16,73
2016-04-23,72
2016-04-30,71
2016-05-07,83
2016-05-14,75
2016-05-21,76
2016-05-28,72
2016-06-04,74
2016-06-11,78
2016-06-18,73
2016-06-25,70
2016-07-02,69
2016-07-09,75
2016-07-16,79
2016-07-23,77
2016-07-30,75
2016-08-06,75
2016-08-13,80
2016-08-20,93
2016-08-27,99
2016-09-03,94
2016-09-10,99
2016-09-17,100
2016-09-24,99
