week,gdp
2011-10-08,87
2011-10-15,88
2011-10-22,91
2011-10-29,94
2011-11-05,94
2011-11-12,95
2011-11-19,84
2011-11-26,90
2011-12-03,85
2011-12-10,78
2011-12-17,61
2011-12-24,55
2011-12-31,63
2012-01-07,74
2012-01-14,80
2012-01-21,83
2012-01-28,86
2012-02-04,85
2012-02-11,85
2012-02-18,85
2012-02-25,89
2012-03-03,84
2012-03-10,80
2012-03-17,79
2012-03-24,78
2012-03-31,71
2012-04-07,76
2012-04-14,79
2012-04-21,87
2012-04-28,80
2012-05-05,77
2012-05-12,78
2012-05-19,76
2012-05-26,79
2012-06-02,73
2012-06-09,70
2012-06-16,66
2012-06-23,63
2012-06-30,58
2012-07-07,65
2012-07-14,60
2012-07-21,69
2012-07-28,62
2012-08-04,60
2012-08-11,68
2012-08-18,63
2012-08-25,69
2012-09-01,73
2012-09-08,82
2012-09-15,81
2012-09-22,85
2012-09-29,81
2012-10-06,82
2012-10-13,82
2012-10-20,85
2012-10-27,75
2012-11-03,86
2012-11-10,82
2012-11-17,72
2012-11-24,83
2012-12-01,81
2012-12-08,75
2012-12-15,59
2012-12-22,42
2012-12-29,51
2013-01-05,65
2013-01-12,69
2013-01-19,74
2013-01-26,84
2013-02-02,76
2013-02-09,75
2013-02-16,75
2013-02-23,83
2013-03-02,82
2013-03-09,76
2013-03-16,79
2013-03-23,71
2013-03-30,66
2013-04-06,76
2013-04-13,78
2013-04-20,84
2013-04-27,74
2013-05-04,72
2013-05-11,73
2013-05-18,62
2013-05-25,65
2013-06-01,63
2013-06-08,59
2013-06-15,56
2013-06-22,57
2013-06-29,51
2013-07-06,52
2013-07-13,58
2013-07-20,57
2013-07-27,57
2013-08-03,51
2013-08-10,55
2013-08-17,57
2013-08-24,62
2013-08-31,65
2013-09-07,69
2013-09-14,73
2013-09-21,75
2013-09-28,80
2013-10-05,79
2013-10-12,81
2013-10-19,77
2013-10-26,71
2013-11-02,75
2013-11-09,77
2013-11-16,76
2013-11-23,69
2013-11-30,77
2013-12-07,73
2013-12-14,61
2013-12-21,41
2013-12-28,45
2014-01-04,62
2014-01-11,66
2014-01-18,72
2014-01-25,76
2014-02-01,77
2014-02-08,78
2014-02-15,83
2014-02-22,83
2014-03-01,82
2014-03-08,76
2014-03-15,77
2014-03-22,77
2014-03-29,74
2014-04-05,80
2014-04-12,75
2014-04-19,75
2014-04-26,83
2014-05-03,78
2014-05-10,77
2014-05-17,73
2014-05-24,70
2014-05-31,68
2014-06-07,65
2014-06-14,63
2014-06-21,64
2014-06-28,55
2014-07-05,59
2014-07-12,57
2014-07-19,59
2014-07-26,62
2014-08-02,56
2014-08-09,61
2014-08-16,56
2014-08-23,64
2014-08-30,68
2014-09-06,74
2014-09-13,80
2014-09-20,79
2014-09-27,80
2014-10-04,82
2014-10-11,79
2014-10-18,78
2014-10-25,81
2014-11-01,81
2014-11-08,81
2014-11-15,100
2014-11-22,78
2014-11-29,83
2014-12-06,83
2014-12-13,71
2014-12-20,54
2014-12-27,49
2015-01-03,67
2015-01-10,79
2015-01-17,84
2015-01-24,86
2015-01-31,81
2015-02-07,86
2015-02-14,82
2015-02-21,86
2015-02-28,83
2015-03-07,83
2015-03-14,79
2015-03-21,83
2015-03-28,74
2015-04-04,74
2015-04-11,84
2015-04-18,84
2015-04-25,85
2015-05-02,83
2015-05-09,79
2015-05-16,77
2015-05-23,74
2015-05-30,72
2015-06-06,70
2015-06-13,67
2015-06-20,64
2015-06-27,78
2015-07-04,80
2015-07-11,72
2015-07-18,65
2015-07-25,65
2015-08-01,63
2015-08-08,62
2015-08-15,67
2015-08-22,74
2015-08-29,78
2015-09-05,76
2015-09-12,79
2015-09-19,82
2015-09-26,85
2015-10-03,87
2015-10-10,84
2015-10-17,90
2015-10-24,84
2015-10-31,83
2015-11-07,84
2015-11-14,86
2015-11-21,76
2015-11-28,85
2015-12-05,84
2015-12-12,76
2015-12-19,54
2015-12-26,50
2016-01-02,71
2016-01-09,80
2016-01-16,90
2016-01-23,93
2016-01-30,85
2016-02-06,85
2016-02-13,84
2016-02-20,91
2016-02-27,92
2016-03-05,87
2016-03-12,80
2016-03-19,76
2016-03-26,77
2016-04-02,81
2016-04-09,85
2016-04-16,83
2016-04-23,86
2016-04-30,80
2016-05-07,82
2016-05-14,80
2016-05-21,75
2016-05-28,76
2016-06-04,74
2016-06-11,69
2016-06-18,87
2016-06-25,77
2016-07-02,62
2016-07-09,64
2016-07-16,64
2016-07-23,69
2016-07-30,68
2016-08-06,62
2016-08-13,64
2016-08-20,67
2016-08-27,69
2016-09-03,75
2016-09-10,78
2016-09-17,84
2016-09-24,86
