week,pokemon
2011-10-08,5
2011-10-15,5
2011-10-22,5
2011-10-29,5
2011-11-05,5
2011-11-12,4
2011-11-19,5
2011-11-26,4
2011-12-03,5
2011-12-10,5
2011-12-17,5
2011-12-24,5
2011-12-31,5
2012-01-07,4
2012-01-14,5
2012-01-21,5
2012-01-28,5
2012-02-04,5
2012-02-11,5
2012-02-18,6
2012-02-25,6
2012-03-03,5
2012-03-10,5
2012-03-17,5
2012-03-24,5
2012-03-31,6
2012-04-07,6
2012-04-14,5
2012-04-21,5
2012-04-28,5
2012-05-05,5
2012-05-12,5
2012-05-19,5
2012-05-26,5
2012-06-02,5
2012-06-09,5
2012-06-16,6
2012-06-23,6
2012-06-30,6
2012-07-07,6
2012-07-14,6
2012-07-21,6
2012-07-28,6
2012-08-04,6
2012-08-11,6
2012-08-18,6
2012-08-25,5
2012-09-01,5
2012-09-08,5
2012-09-15,5
2012-09-22,5
2012-09-29,5
2012-10-06,6
2012-10-13,6
2012-10-20,5
2012-10-27,5
2012-11-03,5
2012-11-10,5
2012-11-17,5
2012-11-24,4
2012-12-01,5
2012-12-08,5
2012-12-15,5
2012-12-22,5
2012-12-29,5
2013-01-05,6
2013-01-12,5
2013-01-19,5
2013-01-26,5
2013-02-02,5
2013-02-09,5
2013-02-16,5
2013-02-23,5
2013-03-02,5
2013-03-09,5
2013-03-16,5
2013-03-23,6
2013-03-30,5
2013-04-06,5
2013-04-13,5
2013-04-20,5
2013-04-27,5
2013-05-04,5
2013-05-11,6
2013-05-18,6
2013-05-25,6
2013-06-01,6
2013-06-08,6
2013-06-15,6
2013-06-22,6
2013-06-29,6
2013-07-06,6
2013-07-13,6
2013-07-20,6
2013-07-27,6
2013-08-03,6
2013-08-10,6
2013-08-17,6
2013-08-24,6
2013-08-31,6
2013-09-07,6
2013-09-14,6
2013-09-21,5
2013-09-28,7
2013-10-05,9
2013-10-12,14
2013-10-19,12
2013-10-26,10
2013-11-02,9
2013-11-09,8
2013-11-16,8
2013-11-23,8
2013-11-30,7
2013-12-07,7
2013-12-14,7
2013-12-21,8
2013-12-28,8
2014-01-04,7
2014-01-11,6
2014-01-18,6
2014-01-25,6
2014-02-01,6
2014-02-08,6
2014-02-15,8
2014-02-22,8
2014-03-01,8
2014-03-08,7
2014-03-15,7
2014-03-22,7
2014-03-29,9
2014-04-05,7
2014-04-12,7
2014-04-19,6
2014-04-26,6
2014-05-03,6
2014-05-10,6
2014-05-17,6
2014-05-24,6
2014-05-31,6
2014-06-07,6
2014-06-14,6
2014-06-21,6
2014-06-28,6
2014-07-05,6
2014-07-12,6
2014-07-19,6
2014-07-26,6
2014-08-02,6
2014-08-09,6
2014-08-16,6
2014-08-23,6
2014-08-30,5
2014-09-06,5
2014-09-13,5
2014-09-20,5
2014-09-27,5
2014-10-04,5
2014-10-11,5
2014-10-18,5
2014-10-25,5
2014-11-01,5
2014-11-08,5
2014-11-15,6
2014-11-22,7
2014-11-29,6
2014-12-06,6
2014-12-13,6
2014-12-20,7
2014-12-27,7
2015-01-03,6
2015-01-10,5
2015-01-17,5
2015-01-24,5
2015-01-31,5
2015-02-07,5
2015-02-14,5
2015-02-21,5
2015-02-28,5
2015-03-07,5
2015-03-14,5
2015-03-21,5
2015-03-28,5
2015-04-04,5
2015-04-11,5
2015-04-18,5
2015-04-25,5
2015-05-02,5
2015-05-09,5
2015-05-16,5
2015-05-23,5
2015-05-30,5
2015-06-06,5
2015-06-13,4
2015-06-20,4
2015-06-27,5
2015-07-04,5
2015-07-11,5
2015-07-18,5
2015-07-25,5
2015-08-01,5
2015-08-08,5
2015-08-15,5
2015-08-22,5
2015-08-29,5
2015-09-05,6
2015-09-12,6
2015-09-19,5
2015-09-26,5
2015-10-03,5
2015-10-10,5
2015-10-17,5
2015-10-24,5
2015-10-31,5
2015-11-07,4
2015-11-14,4
2015-11-21,5
2015-11-28,4
2015-12-05,5
2015-12-12,5
2015-12-19,6
2015-12-26,5
2016-01-02,5
2016-01-09,5
2016-01-16,5
2016-01-23,5
2016-01-30,5
2016-02-06,5
2016-02-13,5
2016-02-20,7
2016-02-27,7
2016-03-05,7
2016-03-12,6
2016-03-19,6
2016-03-26,6
2016-04-02,6
2016-04-09,5
2016-04-16,5
2016-04-23,5
2016-04-30,5
2016-05-07,6
2016-05-14,6
2016-05-21,6
2016-05-28,6
2016-06-04,6
2016-06-11,6
2016-06-18,6
2016-06-25,6
2016-07-02,31
2016-07-09,100
2016-07-16,89
2016-07-23,63
2016-07-30,67
2016-08-06,58
2016-08-13,40
2016-08-20,32
2016-08-27,26
2016-09-03,22
2016-09-10,22
2016-09-17,17
2016-09-24,16
